[x] peut être décrit comme [y] | r_carac
[x] entièrement inclus [y] | r_hypo r_cohypo r_isa
[x] forme spécifique [y] | r_hypo r_cohypo r_isa
[x] [y] liés | r_associated r_cohypo r_isa r_associated
[x] sous groupe [y] | r_hypo r_cohypo r_isa
[x] [y] antonymes | r_anto
[x] appartient vraiment [y] | r_hypo r_cohypo r_isa
[x] tombe sous catégorie [y] | r_isa r_cohypo r_isa
[x] différent [y] | r_isa
[x] contradiction [y] | r_anto
[x] fait partie catégorie [y] | r_hypo r_cohypo r_isa
[x] a comme parties [y] | r_has_part
[x] composé [y] | r_has_part
Parmi constituants [x] trouve [y] | r_has_part
éléments composent [x] [y] | r_has_part
[x] constitué [y] | r_holo
[x] comprend [y] | r_holo
Parmi tout [x] peut citer [y] | r_holo
[x] a [y] | r_has_part
[x] possède [y] | r_has_part
